user_id;nama_user;kodepos;email
100%;Ir. Paris Siregar, S.Sos;2041200%;dadapsamosir@hotmail.com
200%;Oliva Zulkarnain;3703400%;permadiputri@pt.mil.id
300%;Latika Mustofa;272800%;caturanggriawan@pd.go.id
400%;Elvina Rahmawati;47000%;varyani@pd.ac.id
500%;Tedi Irawan;3975600%;latuponodaliono@hotmail.com
600%;Ir. Hartaka Susanti;639100%;siregarfebi@perum.int
700%;Manah Nuraini, M.M.;5725300%;ira80@gmail.com
800%;Hadi Habibi, S.Gz;688900%;yonosirait@pt.net.id
900%;Caket Utami;3272300%;suwarnopadmi@perum.edu
1000%;Tgk. Bagas Wasita, M.Pd;7589300%;fprasetya@hotmail.com
1100%;Lalita Sitompul, M.Ak;240200%;lamarutama@pd.web.id
1200%;Cindy Manullang;6544000%;dinda95@hotmail.com
1300%;Tgk. Cici Rajata;207700%;pradiptaega@gmail.com
1400%;Gasti Natsir;2583500%;purnawativirman@hotmail.com
1500%;Lintang Rahayu;2959700%;kenzie11@hotmail.com
1600%;Lamar Halim;9023400%;qyulianti@gmail.com
1700%;R. Karen Marpaung, S.Pt;3901600%;zsuryono@cv.id
1800%;Tgk. Hasna Prasasta, M.Farm;997700%;pnashiruddin@gmail.com
1900%;Wardaya Laksmiwati;4866500%;adinata15@hotmail.com
2000%;Dr. Adika Kusmawati, S.Pt;3952200%;wahyunirestu@hotmail.com
2100%;Novi Situmorang, S.Farm;7405300%;onipradipta@pd.go.id
2200%;Gandi Rahmawati;8143000%;latuponoharjaya@cv.mil
2300%;Ira Sinaga;5164700%;vyulianti@yahoo.com
2400%;Purwa Saefullah;2309300%;egagunarto@yahoo.com
2500%;Dr. Ganep Latupono, S.Kom;3156500%;alikathamrin@pd.net
2600%;Gaman Prasetya, S.E.I;6341200%;oni60@gmail.com
2700%;Bahuwirya Haryanto;3848000%;esiregar@gmail.com
2800%;Dr. Kawaya Fujiati, M.Ak;265100%;lailasarigamani@perum.edu
2900%;Sidiq Saputra, M.Pd;4707800%;kprabowo@pt.net.id
3000%;Gamanto Maulana;8022000%;anggrainieluh@perum.mil
3100%;Hj. Kiandra Tampubolon;6950300%;nasyiahhana@gmail.com
3200%;Samiah Maulana;6980200%;astutinasab@gmail.com
3300%;Jasmin Firmansyah;8538900%;yancerahimah@pt.gov
3400%;Edison Maulana;508600%;jailandriani@gmail.com
3500%;Laksana Winarno;575000%;xbudiyanto@cv.web.id
3600%;Ratih Wahyudin;8291700%;uprasetya@yahoo.com
3700%;Citra Nurdiyanti, M.Pd;8878100%;galih56@pt.net.id
3800%;dr. Laswi Andriani;1388300%;daliminardianto@hotmail.com
3900%;Himawan Rahayu;8685600%;unggulsuryatmi@cv.web.id
4000%;R.A. Rachel Iswahyudi;5754300%;hjailani@hotmail.com
4100%;Kartika Thamrin;9382600%;icha73@gmail.com
4200%;Oliva Wahyudin;8357200%;yunizulaika@ud.net.id
4300%;Puji Hidayanto, S.T.;8342200%;maida04@hotmail.com
4400%;Kasiyah Nugroho, S.H.;2476600%;elvin02@ud.edu
4500%;Warta Aryani;1312000%;arissamosir@ud.id
4600%;Eja Tarihoran;7785100%;imarpaung@ud.go.id
4700%;Tami Padmasari;4080500%;perkasakusmawati@cv.co.id
4800%;R. Melinda Wacana;349700%;adhiarjawastuti@pd.mil.id
4900%;Oni Halim;4503700%;danuyulianti@hotmail.com
5000%;Wage Saragih, M.Ak;7339100%;bagiyaastuti@ud.edu
5100%;KH. Ridwan Pranowo;4420600%;llatupono@hotmail.com
5200%;Puput Usada;4987400%;gwacana@gmail.com
5300%;Kasiyah Setiawan;6258100%;caturangga37@gmail.com
5400%;Umi Nasyidah;2554500%;ktampubolon@pd.org
5500%;Drs. Baktianto Aryani, S.Psi;961400%;hesti69@ud.id
5600%;Johan Anggraini, S.Pd;4139800%;pastuti@ud.net
5700%;drg. Nadia Hutasoit, S.H.;8112900%;vyuliarti@pd.go.id
5800%;T. Dadap Prakasa;1553200%;wahyudinjinawi@pd.my.id
5900%;R.M. Gaiman Setiawan;8850700%;kmulyani@gmail.com
6000%;Jaka Hastuti;9765800%;dirja48@gmail.com
6100%;Nyoman Nasyidah;2297900%;kwasita@gmail.com
6200%;Mahesa Namaga, S.Psi;2160000%;puspasarijumadi@perum.mil.id
6300%;Nadine Zulkarnain;4964700%;nyomanwahyuni@yahoo.com
6400%;Sari Sihombing;6522100%;baktianto36@gmail.com
6500%;Ir. Anita Wibowo;4941300%;maryadioktaviani@ud.net.id
6600%;R.M. Prayogo Damanik, S.Pt;6355400%;gandapalastri@yahoo.com
6700%;Pranata Yuniar;6007600%;balamantripermata@pd.sch.id
6800%;Hafshah Tarihoran;4033700%;umar17@cv.mil
6900%;Rangga Firmansyah;6216600%;jabal66@hotmail.com
7000%;drg. Luhung Yulianti, M.Pd;4203800%;galangsuwarno@pt.com
7100%;Tiara Yolanda;4240400%;ywastuti@gmail.com
7200%;Harsanto Melani, M.Ak;7474600%;megantarapurwadi@pd.org
7300%;Lili Sitorus;2183700%;winarnorizki@ud.mil.id
7400%;Marwata Kuswandari;8831200%;cakrajiyahardiansyah@yahoo.com
7500%;Ir. Michelle Budiyanto, M.Pd;5754000%;xsalahudin@hotmail.com
7600%;Ira Damanik;2303600%;bakti54@hotmail.com
7700%;Ir. Narji Laksita;7783400%;khastuti@gmail.com
7800%;Lutfan Yolanda;721100%;halimkemba@gmail.com
7900%;drg. Septi Saptono, S.IP;724200%;ousamah@yahoo.com
8000%;Yunita Maheswara;9293500%;ajimin63@hotmail.com
8100%;Padmi Pratiwi;3573000%;qjanuar@cv.edu
8200%;Titi Purnawati;5231300%;asmunisinaga@pd.org
8300%;Gaduh Kusumo;9100800%;suartiniwahyu@ud.co.id
8400%;Zelaya Lazuardi, S.T.;4692600%;dacin70@pt.or.id
8500%;Laila Jailani;3528600%;rahimahlala@yahoo.com
8600%;Tgk. Tami Pratiwi;950800%;zutama@gmail.com
8700%;Kasiyah Situmorang;6542300%;dongorangamanto@yahoo.com
8800%;Najib Mandala;5670400%;phidayat@ud.gov
8900%;Lulut Pangestu, S.Ked;3065800%;wisnuwahyuni@pt.edu
9000%;Jefri Napitupulu;268600%;yuniarharjo@cv.sch.id
9100%;Caturangga Maryati;9368000%;raharja41@gmail.com
9200%;Upik Wacana;1350000%;betania22@hotmail.com
9300%;Tedi Marpaung;2271200%;lwibisono@yahoo.com
9400%;Anastasia Safitri;5808200%;zriyanti@perum.mil.id
9500%;dr. Galuh Hastuti, S.IP;5117800%;langgeng86@pt.ponpes.id
